rgdpo;rkna;hc;emp
355;0.0078439;1.193073511;0.175450176
340;0.007719827;1.193699718;0.180374965
369;0.008318773;1.194336057;0.181338176
429;0.009206752;1.194972754;0.180530801
475;0.010742542;1.195609808;0.183569059
454;0.011469543;1.196247101;0.189751968
520;0.014012665;1.196884871;0.19708921
663;0.018506285;1.225173235;0.203393042
831;0.024112616;1.254130363;0.216478184
1,023;0.030071523;1.283771753;0.225442588
1,146;0.033783454;1.314113736;0.233005345
1,275;0.036369048;1.345172882;0.244021118
1,440;0.038224444;1.347912431;0.250194252
1,639;0.039965853;1.350657463;0.257557273
1,843;0.042012103;1.353408098;0.264737576
2,082;0.045505378;1.356164336;0.275921255
2,332;0.050744768;1.358926177;0.286628097
2,673;0.057250101;1.418949723;0.301169336
2,860;0.063729651;1.481624365;0.309687614
3,361;0.069032706;1.547067404;0.311123848
4,229;0.073380835;1.61540103;0.321184099
4,911;0.079001032;1.686753035;0.333686352
5,465;0.084741123;1.748378277;0.345971048
6,041;0.090178706;1.80637598;0.364097267
6,688;0.098439395;1.866297483;0.384668946
8,526;0.116963789;1.928206682;0.404403627
9,272;0.135809645;1.992169619;0.426109076
9,977;0.152324438;2.040768385;0.453916192
10,366;0.166527718;2.090552807;0.459136337
10,681;0.17906794;2.141551733;0.47115919
11,102;0.190331206;2.193794727;0.481763691
12,153;0.203077838;2.247312069;0.490457237
13,893;0.214315251;2.288501501;0.501278162
14,865;0.230306253;2.330445766;0.509652138
15,367;0.249239892;2.373158455;0.55442965
16,919;0.269674927;2.416654348;0.583210945
18,182;0.289844096;2.460947275;0.602180839
18,096;0.310586691;2.494708776;0.614759028
21,366;0.333795488;2.528933048;0.614726603
21,088;0.358503968;2.562435389;0.617346644
22,081;0.379663795;2.586050272;0.611303926
25,194;0.401003271;2.60988307;0.603982508
26,259;0.426894903;2.630747557;0.613784254
27,368;0.461543024;2.651778936;0.672519922
27,741;0.501051664;2.67297864;0.71020031
25,780;0.544362664;2.69434762;0.737065911
28,867;0.590637088;2.715887308;0.774096727
32,091;0.643273652;2.738507032;0.818738043
30,052;0.70636332;2.761630058;0.826680899
30,666;0.764730394;2.785270452;0.843854666
33,817;0.820958912;2.809442282;0.846645415
32,224;0.886836529;2.834160805;0.848005474
33,786;0.951135695;2.85944128;0.866761148
35,741;1;2.885299683;0.889520705
36,345;1.057166815;2.911752224;0.913966119
37,975;1.121560216;2.938816071;0.921595812
2,938,156;0.83;2.47;86.35
3,280,996;0.87;2.56;88.63
3,271,619;0.91;2.62;89.51
3,306,056;0.94;2.68;91.15
3,297,538;0.98;2.75;92.83
3,082,939;0.99;2.81;92.45
2,931,514;0.99;2.88;90.63
2,968,826;1;2.95;90.5
3,042,122;1.01;3.02;92.09
3,080,049;1.02;3.09;93.96
